order_uuid,component_name,system_name,manufacturer_id,part_no,serial_no,status,status_date,ordered_by
acb3ea5d-671d-4a62-8ac7-0b775f375e46,Driver_wiring_ele,ELECTRICAL,1998,205481,494933,SHIPPED,1996-04-01 15:25:59,
504dc767-db87-4589-a82e-14efc0d56c86,Driver_chassis_tra,TRANSMISSION,2489,181244,10258,RECEIVED,2002-02-21 04:07:23,
6316c2cd-6258-45de-bd29-404f1db74e9e,wheel-well bolt bracket ELE,ELECTRICAL,1998,943659,3085055,RECEIVED,2014-12-02 19:05:38,
8f09aa8c-1631-4091-b2a6-2495ff9f4258,cabin_casing_NAV,NAVIGATION,1484,443240,2952851,SHIPPED,1990-02-12 15:46:53,
84010283-0c43-48dc-8741-f614bb9e714d,cabin_wiring_NAV,NAVIGATION,2489,581124,9728406,ORDERED,2020-12-02 20:55:41,
018eddda-ad9d-4216-8b50-3d6013012383,engine-bay_pump_HYD,HYDRAULIC,1484,863014,6265914,SHIPPED,1997-11-25 07:52:52,
0379c047-3be5-4dee-ad53-2360f8bc8d79,Roof piston ele,ELECTRICAL,3333,608068,9563423,SHIPPED,1998-10-28 23:44:27,
c1fb9d7d-d3cf-4515-a67d-8e8e0df84ba0,wheel-well_screw_holder_HYD,HYDRAULIC,1998,219197,2204351,RECEIVED,2011-01-20 08:37:49,
1009efed-661a-4081-9044-afb5946bcd9f,roof_screw_HYD,HYDRAULIC,1998,659588,4359417,ORDERED,1997-06-30 16:09:42,
f81a1140-41b8-4429-b1fa-b55e24d387e8,bed casing ELE,ELECTRICAL,1484,624547,5579558,RECEIVED,1997-03-20 04:45:29,
18ae42fc-5d46-4c6c-8b1c-dbfa17502cdb,engine-bay pump HYD,HYDRAULIC,7957,383550,5450313,PENDING,1997-04-28 02:24:44,jane.doe
e6a61d2d-842e-42e8-8963-b4ac8d7314b6,wheel-well_filter_HYD,HYDRAULIC,7957,947823,4332502,SHIPPED,2024-08-17 18:43:46,
28a2eb06-38ad-4212-a3c8-83214a1fcb51,passenger_flange_ELE,ELECTRICAL,2489,315566,2657492,ORDERED,2010-03-26 21:32:53,
ac407d75-25f9-4130-a65b-9bb226e6e377,Wheel-well_plug_hyd,HYDRAULIC,7957,485864,1096486,SHIPPED,2002-07-26 04:02:30,
bd9965a1-3834-4122-b224-2b355d8cfc5e,roof_piston_TRA,TRANSMISSION,3333,884028,3408661,PENDING,2009-06-12 23:32:28,"Unicorn, Doug"
511e5b98-7d6f-4197-9aa8-8c5caaa420fe,wheel-well_wiring_NAV,NAVIGATION,1998,234031,362466,RECEIVED,2010-07-15 22:07:56,
eba30978-3ae0-4ee4-a184-845382337b3a,driver filter NAV,NAVIGATION,7957,663916,3074820,SHIPPED,2020-01-26 11:33:42,
792a8a7c-8f77-493d-9b6c-9723da7adc9f,Driver_flange_ele_002,ELECTRICAL,6467,581865,3766089,ORDERED,2018-09-23 10:23:51,
e32a4507-9ea5-4ce2-8cc3-1f1b6f6e3fd6,Driver_piston_ele,ELECTRICAL,3333,608068,2442027,SHIPPED,1996-09-13 04:30:01,
636d0856-8c8e-4d40-8a21-70208bd22387,Cabin plug holder ele,ELECTRICAL,7957,135170,208431,ORDERED,2013-09-24 01:36:20,
91cecf87-3a94-4c1b-abaf-254071d7907c,bed_screw_ELE,ELECTRICAL,1484,977856,4974302,RECEIVED,1989-02-27 08:57:43,
abe041bb-a115-44a4-b801-ae9c9f6b71d1,Driver_casing_ele,ELECTRICAL,1998,286059,5223700,RECEIVED,2001-07-05 14:41:20,
a6d1bed3-95aa-44d9-97b6-1b36cec2bddb,Wheel-well filter tra,TRANSMISSION,2489,184281,3247808,ORDERED,1996-09-11 01:30:17,
6fefa6c9-9e05-4a8e-b988-47a74165e3a8,wheel-well wiring ELE,ELECTRICAL,1484,443240,1932793,SHIPPED,2024-10-14 05:56:24,
36b7a819-9251-46b7-af43-36831c2837b7,Cabin_plug_nav,NAVIGATION,2489,271762,7133452,PENDING,2007-02-08 11:47:27,richard.feynman
0b6fefd6-c80b-474c-b122-07bcf26e076a,passenger joint ELE 002,ELECTRICAL,7957,168942,9427517,PENDING,2010-06-12 03:58:32,jane.doe
dd09f83b-322f-4418-a6f9-9b2467699844,Engine-bay pump hyd,HYDRAULIC,2489,266508,2463512,ORDERED,1989-06-05 00:02:25,
db7b79de-5b7c-4a9e-a67b-3248998a6a75,Bed drain ele,ELECTRICAL,1998,219197,9379949,ORDERED,2004-06-06 12:03:29,
b090cadb-25a3-4825-afbf-bf930e6c71e2,Cabin casing nav,NAVIGATION,1484,620362,9952891,ORDERED,1997-09-19 18:18:34,
e84cd317-5904-43d2-9ad2-d78e8c064fe2,Driver_o-ring_hyd,HYDRAULIC,2489,661811,5444736,PENDING,1996-02-26 18:07:02,michael.scott
e0c0b030-e972-47b7-ae2b-c00b51b4a7c8,driver_wiring_ELE,ELECTRICAL,9710,830010,1984274,ORDERED,1988-09-10 01:35:53,
2b0bfb49-1fd8-43c8-91a0-1137f3332ea9,Bed_bearing_ele_002,ELECTRICAL,1998,811157,6599642,RECEIVED,1997-07-12 17:04:03,
a8e27448-8bf3-4bc2-a84c-83a1ddbedb6f,Roof o-ring nav,NAVIGATION,1998,219197,6857036,SHIPPED,1988-08-23 22:53:42,
3f1f0c9e-908b-4014-9799-64feb8e5abf9,wheel-well screw holder HYD,HYDRAULIC,7957,952758,5275815,SHIPPED,1988-05-03 07:04:46,
fb4f1528-cb60-4d2d-890a-d58e1b0e7602,Wheel-well_wiring_nav,NAVIGATION,1783,113769,2540770,SHIPPED,1996-11-17 22:52:22,
7d4f4ce0-0532-498f-8472-50b45fd506bf,Passenger_joint_ele_002,ELECTRICAL,3333,578314,7503327,RECEIVED,1999-03-11 09:17:35,
496100a2-0061-445b-b42a-51021f07d098,cabin_casing_NAV,NAVIGATION,6467,605173,2552823,RECEIVED,2016-06-17 18:06:01,
b3d66935-d81b-4af9-9780-72df96c01f9a,driver pump HYD,HYDRAULIC,7957,814127,3746498,PENDING,1999-11-15 10:38:36,"Doe, Jane"
4e7a1e7d-e9fa-4de7-a125-f265b11ad173,roof_screw_HYD,HYDRAULIC,6467,599284,8081690,RECEIVED,1988-06-21 05:24:08,
36b4db7d-369a-44e8-8313-6799818b212e,cabin_casing_ELE,ELECTRICAL,6467,134769,4241213,PENDING,1994-08-10 00:15:47,Doug Unicorn
60a52e55-b03a-44fb-94c1-3b50362aee91,Roof piston tra,TRANSMISSION,3333,760303,6510008,RECEIVED,2008-02-12 08:47:46,
5cb3a37c-7c0c-4a4e-90d7-b328d9c7cefb,Roof tank tra,TRANSMISSION,6467,243984,5103644,SHIPPED,2020-10-23 01:30:14,
28c28a83-d1fa-4f28-ae49-534e28307afe,Bed_casing_nav,NAVIGATION,2489,503649,9295301,RECEIVED,2023-10-10 17:28:53,
bb31e673-b32e-4933-8ea9-972fdd03b00d,Wheel-well_plug_hyd,HYDRAULIC,3333,261486,1512298,PENDING,2003-12-09 23:51:06,"Picard, JL"
914d88b6-9707-47f7-95dd-35be979e587c,wheel-well_flange_HYD,HYDRAULIC,1484,603276,2806636,ORDERED,2002-08-03 11:52:12,
e32a4507-9ea5-4ce2-8cc3-1f1b6f6e3fd6,Driver_piston_ele,ELECTRICAL,3333,608068,2442027,RECEIVED,1996-09-14 22:04:32,
b3d66935-d81b-4af9-9780-72df96c01f9a,driver pump HYD,HYDRAULIC,7957,814127,3746498,SHIPPED,1999-11-21 05:37:49,
17c9c02c-ce3b-4251-ba6b-6ae63a77de53,passenger_drain_ELE,ELECTRICAL,3333,884028,8841750,PENDING,1998-11-10 02:57:16,jl.picard
38ef21cb-b3d4-4876-b057-e70e24ed60c3,passenger casing ELE,ELECTRICAL,6467,611292,365127,ORDERED,2021-04-12 11:01:58,
eb09b4ca-f15c-4334-980f-1a507631a093,Bed casing ele,ELECTRICAL,6147,871329,1215674,RECEIVED,2015-10-21 09:21:08,
56142da4-f7b7-4104-950c-60d5a97920ce,Cabin casing nav,NAVIGATION,3333,727588,4775192,SHIPPED,1993-12-17 05:19:39,
4f710262-9a3e-4480-9c33-c6bafd081dc5,Bed drain ele,ELECTRICAL,7957,485864,4651828,SHIPPED,2016-06-08 16:42:17,
e84cd317-5904-43d2-9ad2-d78e8c064fe2,Driver_o-ring_hyd,HYDRAULIC,2489,661811,5444736,RECEIVED,1996-03-22 03:24:47,
4ad89b43-37aa-4cdf-a290-10c7bf4c7796,roof piston TRA,TRANSMISSION,1484,928893,9137606,PENDING,2020-08-09 12:58:56,Michael Bolton
ecc1696b-8781-4c3c-a60e-43da495c3d79,roof o-ring NAV,NAVIGATION,1998,335237,5325463,SHIPPED,2009-08-03 22:45:35,
1f8a291e-8900-46fb-934a-6f3a8465ff09,cabin casing NAV,NAVIGATION,1998,294383,193152,ORDERED,2020-02-19 05:40:41,
793c6de5-698e-40a5-a3d7-ba9a7a8fe68d,Cabin plug holder ele,ELECTRICAL,3333,468936,6780753,ORDERED,2014-03-27 10:57:30,
872646da-12fa-48fd-b5b4-1516447e3b9e,passenger flange ELE,ELECTRICAL,1484,187575,4627810,SHIPPED,2020-11-24 19:41:09,
e8bb54ff-7f8d-4e21-9b95-ebd08493f7bc,Roof chassis ele,ELECTRICAL,1484,231116,8520749,SHIPPED,2010-10-06 19:48:33,
af3d7d83-b4e1-4830-b2eb-aed0e0f9a39b,Roof plug hyd,HYDRAULIC,7957,615844,8704667,ORDERED,1999-06-30 01:26:32,
7433980f-d5cb-434e-9bdd-217dbd64d6e2,Roof_screw_hyd,HYDRAULIC,2489,124321,7865296,PENDING,2023-10-04 05:08:09,John Doe
4d2099a8-a410-4db3-b152-af730a2709cc,Passenger flange ele,ELECTRICAL,7957,320442,6542615,RECEIVED,2023-04-07 05:10:44,
4146b52b-8f36-4d61-ab05-a223e47e3291,Driver_chassis_tra,TRANSMISSION,2489,321834,423208,ORDERED,1998-02-27 05:26:26,
72d35fc9-ed0b-4853-aac8-de84b48ce1a0,Bed_bearing_ele_002,ELECTRICAL,2489,755104,7906634,SHIPPED,2003-11-13 02:19:42,
0e967ce3-efa6-41ee-a683-1af6a02054cd,driver casing NAV,NAVIGATION,7957,351858,3041806,SHIPPED,2008-10-29 16:35:09,
1a18fd28-d305-4992-851b-a0ac30c29ff6,engine-bay casing TRA,TRANSMISSION,6467,102059,2175296,RECEIVED,2007-10-27 00:17:49,
da820e82-6e4b-4f56-8840-78b43c6acf83,Passenger bearing ele,ELECTRICAL,1484,420091,1700372,SHIPPED,2000-07-10 12:48:15,
75177c02-c21f-470b-a803-f33ae0f7bb11,roof_screw_HYD,HYDRAULIC,1484,801304,4669938,ORDERED,2017-04-18 02:59:39,
3a5963af-4676-4cea-b7d9-936c3e0c49e8,Engine-bay piston ele,ELECTRICAL,3333,496187,2286266,RECEIVED,1992-07-26 15:41:44,
90ae832a-be0b-4641-96b3-b38dd9f309e9,Engine-bay flange hyd,HYDRAULIC,6467,186730,1161233,SHIPPED,2014-07-29 01:36:04,
98b5c040-49b0-4d0d-af7c-da8f5b34cf57,Driver casing ele,ELECTRICAL,3333,630243,4565444,SHIPPED,2003-09-11 21:36:27,
707616cf-342d-404a-a9ec-e1296ec21649,bed pump HYD,HYDRAULIC,1998,152030,5366901,PENDING,2020-01-01 19:36:18,Doug Unicorn
0de3d2ce-73a4-408a-8d71-29c114315ada,Bed_screw_ele,ELECTRICAL,7957,823031,6304475,ORDERED,2000-04-25 11:36:27,
6a17424b-4f18-4fd6-8dc1-2f435890f496,Cabin_wiring_nav,NAVIGATION,1783,114263,711893,RECEIVED,2013-09-30 18:57:20,
40be4fa0-2547-4b53-b4d6-f27d0e4fdea9,Wheel-well_bolt_bracket_ele,ELECTRICAL,2489,581124,6968971,ORDERED,2000-04-20 02:53:34,
350dda58-e98b-4f96-98aa-c0b5bc72bf4e,Passenger bearing hyd,HYDRAULIC,6467,687165,7891343,SHIPPED,2019-10-18 02:41:08,
c1fb9d7d-d3cf-4515-a67d-8e8e0df84ba0,wheel-well_screw_holder_HYD,HYDRAULIC,1998,219197,2204351,PENDING,2011-01-01 01:10:02,"Doe, John"
3c5e982b-7304-46a8-8f3d-cd952b6eac63,Driver_flange_tra,TRANSMISSION,7957,952758,8765091,SHIPPED,1998-05-10 01:40:53,
382550be-267f-4f7c-a3ad-8def6d8938c7,engine-bay_screw_HYD_001,HYDRAULIC,1998,294383,7255059,RECEIVED,2001-03-23 07:28:45,
0c8ab500-ee9f-42c2-b9b3-ef8959ea7d21,cabin_wiring_NAV,NAVIGATION,6467,302760,1873930,SHIPPED,2003-01-26 02:18:28,
de0e380b-3d0c-4875-aa8b-c56e70eca669,passenger_bearing_HYD,HYDRAULIC,1783,627857,4712628,ORDERED,2023-03-28 14:35:24,
5353cb47-4676-4526-b0f7-1ee3120fc44e,Wheel-well_filter_hyd,HYDRAULIC,7957,503033,6735901,PENDING,2013-03-14 10:26:06,"Doe, John"
1cc79030-808b-45df-9728-45a8439b0622,Cabin_tank_hyd,HYDRAULIC,6467,952903,2256989,SHIPPED,2000-12-11 11:59:56,
22175a8a-9876-4a22-bcb6-84852b2f7ae3,wheel-well_filter_TRA,TRANSMISSION,6467,261841,1218420,PENDING,2002-05-18 16:31:31,"Palindrome, Racecar"
c1fb9d7d-d3cf-4515-a67d-8e8e0df84ba0,wheel-well_screw_holder_HYD,HYDRAULIC,1998,219197,2204351,ORDERED,2011-01-04 23:50:07,
4d896880-357d-4637-8c07-a1b911ea9f42,Wheel-well_screw_holder_hyd,HYDRAULIC,1783,168435,647431,PENDING,1989-01-02 16:52:10,Jane Doe
918971cf-e913-40b6-acff-5f1395b5272c,bed_casing_NAV,NAVIGATION,7957,848528,6892005,RECEIVED,2003-04-05 06:30:07,
4d2099a8-a410-4db3-b152-af730a2709cc,Passenger flange ele,ELECTRICAL,7957,320442,6542615,PENDING,2023-03-24 11:44:25,richard.feynman
7932fd5c-e441-482d-8b09-03aeb5de7c3f,Roof drain hyd,HYDRAULIC,7957,140100,7340162,PENDING,2018-07-08 13:05:27,richard.feynman
97f10834-75d3-44f5-b088-360207cdb5d8,Cabin plug holder ele,ELECTRICAL,3333,492589,4245330,ORDERED,2020-08-10 18:46:38,
3fc5df01-895b-4a15-9539-99d1bda28f3f,engine-bay screw HYD 002,HYDRAULIC,7957,333617,3926559,PENDING,2024-06-16 20:04:58,"Palindrome, Racecar"
d2dda4b0-aa20-49b7-8698-475cb6a58f88,driver pump HYD,HYDRAULIC,2489,682666,6566609,SHIPPED,2002-03-16 20:17:30,
382550be-267f-4f7c-a3ad-8def6d8938c7,engine-bay_screw_HYD_001,HYDRAULIC,1998,294383,7255059,PENDING,2001-03-15 18:08:29,doug.unicorn
0de3d2ce-73a4-408a-8d71-29c114315ada,Bed_screw_ele,ELECTRICAL,7957,823031,6304475,RECEIVED,2000-05-02 04:26:35,
0b8e5173-0336-46fd-a070-2930792d2ea1,wheel-well_wiring_ELE,ELECTRICAL,2489,829231,935338,SHIPPED,2011-03-25 08:59:08,
38ef21cb-b3d4-4876-b057-e70e24ed60c3,passenger casing ELE,ELECTRICAL,6467,611292,365127,SHIPPED,2021-04-16 10:26:49,
502797b4-da4d-4a81-adfc-6b829d734ad9,engine-bay_wheel_TRA,TRANSMISSION,2489,764226,4581145,ORDERED,1990-07-09 13:53:08,
7d4f4ce0-0532-498f-8472-50b45fd506bf,Passenger_joint_ele_002,ELECTRICAL,3333,578314,7503327,SHIPPED,1999-03-10 14:59:38,
9a0bfb09-f659-41f4-870e-4385d33adc35,wheel-well filter TRA,TRANSMISSION,2489,758657,3779712,PENDING,2009-08-26 07:30:12,doug.unicorn
91461bb9-2455-4747-807c-85005d4d0d97,Bed_pump_hyd,HYDRAULIC,2489,165561,8273924,RECEIVED,2009-08-18 18:36:18,
67f59885-bc8d-4865-b8bc-04018b4487a0,Driver flange tra,TRANSMISSION,1998,674290,4919956,SHIPPED,2017-02-06 18:53:27,
4c0c1af7-fa3b-4773-877e-41c6bc2d6333,wheel-well_screw_holder_HYD,HYDRAULIC,7957,262503,2177102,RECEIVED,2002-01-10 20:05:49,
aaa6773a-7c14-41a9-a680-ed87ff40f6e2,bed_screw_ELE,ELECTRICAL,6467,102059,3729130,RECEIVED,2012-09-18 01:00:03,
2527204e-07de-493e-9101-88c228e684cc,wheel-well_filter_TRA,TRANSMISSION,1484,552320,7012634,ORDERED,2016-07-03 19:42:10,
33ee7d9d-0d0b-4b0a-bc72-77b0da1a894d,cabin casing ELE,ELECTRICAL,1783,204429,8829542,SHIPPED,2015-05-18 03:44:07,
7c365622-33cb-4e70-83d6-b029b7ae368c,passenger_wiring_ELE,ELECTRICAL,2489,321834,4350922,ORDERED,1989-12-26 15:36:47,
d08a0bb7-303a-4396-b563-77d74a845528,driver pump HYD,HYDRAULIC,1998,740503,2849540,PENDING,2008-10-17 03:36:24,racecar.palindrome
ac4cc8e6-9632-4c83-8224-99fcd1d52ef2,Engine-bay_pump_hyd,HYDRAULIC,1783,380583,8231262,SHIPPED,1997-01-31 12:46:52,
0287b6f4-e326-4661-878a-821b443325f9,roof o-ring NAV,NAVIGATION,2489,386147,5723541,RECEIVED,2014-07-21 21:50:58,
7caa59aa-3a9e-4213-aec8-aed31d28501a,Driver_flange_ele_001,ELECTRICAL,1484,632025,4405295,ORDERED,2002-05-20 01:22:43,
dd8cf17b-5620-4da3-aac1-80feef5624bc,passenger flange ELE,ELECTRICAL,2489,221292,9107701,PENDING,1990-06-10 23:12:16,"Bolton, Michael"
db7b79de-5b7c-4a9e-a67b-3248998a6a75,Bed drain ele,ELECTRICAL,1998,219197,9379949,SHIPPED,2004-06-14 04:56:55,
52a33591-081f-4f7f-bcd9-ebc7cd7cdac0,Passenger_joint_ele_001,ELECTRICAL,1998,761841,5184148,ORDERED,2014-06-26 23:27:12,
cccda1b5-3541-47e8-9b30-49f32b7ad1e7,Driver casing ele,ELECTRICAL,7957,732870,1622630,PENDING,2010-10-25 21:38:31,michael.bolton
0d05ce75-8cfe-4f81-bbbb-51965b3ba26c,Driver_o-ring_hyd,HYDRAULIC,6467,619930,2296994,SHIPPED,2010-04-11 11:53:55,
0e753c07-9912-46a2-b774-1404002123f1,bed pump HYD,HYDRAULIC,1998,811157,7252596,SHIPPED,1991-10-05 11:58:46,
394f686b-6793-4054-b16d-da99321cb253,passenger flange ELE,ELECTRICAL,6467,747193,3022896,PENDING,1989-02-21 19:14:43,Michael Scott
925d524a-7094-4ed7-877d-a34646421988,driver_flange_ELE_002,ELECTRICAL,3333,285502,3567356,SHIPPED,1995-05-26 21:23:21,
58662311-40bb-4008-b1da-e0c036c13cb2,Driver_pump_hyd,HYDRAULIC,7957,999158,6952816,ORDERED,2003-12-31 05:38:20,
7408a483-417e-496d-a36f-9fc5b5ed283f,Cabin_plug_nav,NAVIGATION,6467,605173,4826212,PENDING,2011-09-10 08:36:53,Jane Doe
8c537ea9-90af-407a-a2c7-43a8d7891f5d,Bed_tank_ele,ELECTRICAL,1484,758410,8333646,SHIPPED,2005-01-13 07:22:09,
600e4419-8785-4bd8-af56-1a06519f7f36,passenger_bearing_ELE,ELECTRICAL,1998,878722,2263081,ORDERED,1999-05-29 19:06:50,
c3257ad0-e54a-4d54-95e7-22bc827c6e31,driver_filter_NAV,NAVIGATION,7957,333617,2096316,PENDING,1989-04-22 15:03:42,"Scott, Michael"
b1cd857e-cd88-45a5-8b74-29ab356faaed,passenger joint ELE 002,ELECTRICAL,3333,637420,9295046,PENDING,2007-10-18 23:02:38,michael.bolton
f64afdd0-2aa3-4624-8476-fb37e6de2147,Wheel-well_flange_hyd,HYDRAULIC,1783,280196,3079043,RECEIVED,2000-07-06 03:49:14,
475ea9e1-1067-4a11-872a-43ce4ac7005a,passenger_piston_HYD,HYDRAULIC,1783,204429,1703320,PENDING,1995-04-30 21:03:34,"Picard, JL"
2e67e05e-3be9-41be-bb4c-b2efa6ad4ecc,Driver flange ele 001,ELECTRICAL,6147,108775,2170502,RECEIVED,2001-12-18 03:14:54,
86a8ce51-7fb4-4ed5-a84a-8efb1f1dbdbf,Roof chassis ele,ELECTRICAL,1998,239013,6027558,PENDING,2000-06-10 01:46:11,"Bolton, Michael"
81005892-213a-4060-b9dd-a0acf1d34eb2,Bed bearing ele 002,ELECTRICAL,1998,286059,8062872,SHIPPED,1990-04-24 06:19:19,
b9902207-071d-4599-be40-0c296c4217d0,Cabin_casing_nav,NAVIGATION,2489,124321,6384767,PENDING,1994-10-09 15:50:55,Michael Scott
d4b79f3f-9c87-48c5-a468-509736557878,Roof_tank_tra,TRANSMISSION,7957,618594,7479112,ORDERED,1993-08-09 22:44:11,
1388ab38-f00a-4be8-93b0-91b08151a047,Wheel-well wiring nav,NAVIGATION,1998,219197,6919848,ORDERED,1999-01-11 18:25:37,
425e76ab-a81c-4c5c-bacd-f21c19bf69e2,bed_tank_ELE,ELECTRICAL,7957,140100,5811750,PENDING,1997-08-19 20:21:56,Racecar Palindrome
0319211b-f971-4f01-acaa-7209363e8901,Passenger_plug_tra,TRANSMISSION,6467,261841,5705207,SHIPPED,2003-11-21 18:26:06,
74ff0b45-2c62-4862-8d84-efbb7a7e9d3e,Driver_pump_hyd,HYDRAULIC,2489,917879,4518612,ORDERED,1995-11-09 00:20:53,
0be01bb0-1c28-4e26-be1f-18289d86fd04,Wheel-well filter tra,TRANSMISSION,1998,692683,8914918,PENDING,2021-05-09 07:07:43,"Palindrome, Racecar"
57c448cd-3fc7-4bfd-846d-3ff547bd478b,Cabin screw hyd,HYDRAULIC,2489,312737,4708156,SHIPPED,1996-02-16 09:46:07,
76784a96-8076-4839-80a9-326c0e1df7a5,wheel-well filter TRA,TRANSMISSION,6467,186730,637308,ORDERED,2017-07-15 10:22:17,
87f1afb5-a3ff-4756-a6a0-c015c35b4af2,Driver_casing_ele,ELECTRICAL,1998,335237,24867,RECEIVED,2024-07-25 22:42:22,
1f0a5977-ba9d-4a78-8fc4-86190cb807c0,passenger_casing_ELE,ELECTRICAL,2489,424735,345013,ORDERED,2016-04-13 14:11:05,
3c464349-31ec-4a44-941b-ac1dfc2ad8b4,Driver_o-ring_hyd,HYDRAULIC,2489,642646,2701233,RECEIVED,1992-12-10 07:38:12,
7ba582d5-6512-424e-9bb0-a43eb24bdd80,Wheel-well plug hyd,HYDRAULIC,1484,376748,4393453,PENDING,1990-04-04 00:21:49,john.doe
df221946-68e1-4651-a3aa-8bfae402f62b,Passenger piston hyd,HYDRAULIC,1484,601647,7794014,RECEIVED,2003-03-26 06:31:03,
02572116-e9a0-4569-867d-1bb6c62ddf8b,Driver casing nav,NAVIGATION,2489,266508,9594339,SHIPPED,2006-04-21 00:02:29,
91279998-3250-47a1-9af7-7ce1873509f8,bed screw ELE,ELECTRICAL,7957,140100,2097384,RECEIVED,2003-08-27 06:44:07,
751805e9-ccb0-43fb-ad28-72d77e3a838d,wheel-well flange HYD,HYDRAULIC,7957,161832,5318105,SHIPPED,2012-07-16 19:29:33,
de0e380b-3d0c-4875-aa8b-c56e70eca669,passenger_bearing_HYD,HYDRAULIC,1783,627857,4712628,SHIPPED,2023-03-28 18:15:54,
0486aa34-1231-4929-b3a5-788118baf794,Roof_drain_hyd,HYDRAULIC,3333,964391,1296064,RECEIVED,2016-04-16 20:38:34,
ed7c0901-847d-4901-9e9c-7fee8e3b1ad8,Bed_tank_ele,ELECTRICAL,1484,393704,3438175,PENDING,2012-01-25 23:25:51,richard.feynman
61ae5669-e9e0-4bcd-ba14-429b5237511a,bed drain ELE,ELECTRICAL,6467,611292,3055142,RECEIVED,2024-08-06 11:08:36,
6f3b7715-cbd3-4510-9869-902767e28082,passenger plug TRA,TRANSMISSION,7957,859092,5630189,RECEIVED,2011-12-09 18:41:19,
d0a7f004-1b45-4683-b7ef-4e349a7bef53,Cabin casing nav,NAVIGATION,1484,624547,6669914,RECEIVED,2015-02-14 10:21:22,
7557806d-08e9-427a-992a-bdde1599371f,roof_screw_HYD,HYDRAULIC,1998,997245,5723916,SHIPPED,2017-12-08 18:30:36,
7c9640d9-3f13-435f-a5a9-7772cfb1b1dc,Wheel-well flange hyd,HYDRAULIC,3333,366506,7626141,ORDERED,2009-05-17 05:37:34,
585377bd-c8f4-44da-a1cf-fd55828b39ca,Cabin wiring nav,NAVIGATION,2489,239067,7830550,PENDING,2001-05-27 11:15:43,michael.bolton
918abcc4-fe2f-43d3-81b1-501364450367,Passenger_joint_ele_001,ELECTRICAL,2489,312737,9922740,PENDING,2003-07-10 20:04:20,"Palindrome, Racecar"
0160d7fa-fdeb-404b-960d-3b4e4fe866d8,passenger_bearing_HYD,HYDRAULIC,1484,242235,5168490,ORDERED,1996-07-25 03:44:34,
995669ee-bb4b-49da-b8b5-627c519a9023,Driver_o-ring_hyd,HYDRAULIC,1783,106771,1181994,SHIPPED,2022-10-16 04:12:55,
